"lwage","educ","exper","expersq","IQ","KWW","fatheduc","motheduc","black","south","smsa","nearc2","nearc4","momdad14","sinmom14","step14","south66","smsa66","libcrd14","reg662","reg663","reg664","reg665","reg666","reg667","reg668","reg669","married_2","married_3","married_4","married_5","married_6","IQ_missing","KWW_missing","fatheduc_missing","motheduc_missing","married_missing","libcrd14_missing"
"6.30627489089966","7","16","256","103","15","10","12","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0"
"6.1758670806884801","12","9","81","93","35","8","8","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6.5806388854980504","12","16","256","103","42","14","12","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5.5214610099792498","11","10","100","88","25","11","12","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6.59167385101318","12","16","256","108","34","8","7","0","0","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6.2146081924438503","12","8","64","85","38","9","12","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6.3368258476257298","18","9","81","119","41","14","14","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6.4101748466491699","14","9","81","108","46","14","14","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6.0520892143249503","12","10","100","96","32","12","12","0","0","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"6.2441668510437003","12","11","121","97","34","12","12","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5.4161009788513201","9","13","169","84","29","11","12","0","0","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"5.9914650917053196","12","8","64","89","34","11","6","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6.0330858230590803","11","7","49","93","22","11","6","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
