"lwage","wage","educ","exper","expersq","IQ","KWW","black","married","south","smsa","fatheduc","motheduc","nearc2","nearc4","momdad14","sinmom14","step14","south66","smsa66","libcrd14","reg661","reg662","reg663","reg664","reg665","reg666","reg667","reg668","reg669"
"6.30627489089966","548","7","16","256","","15","1","1","0","1","","","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"6.1758670806884801","481","12","9","81","93","35","0","1","0","1","8","8","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"6.5806388854980504","721","12","16","256","103","42","0","1","0","1","14","12","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"5.5214610099792498","250","11","10","100","88","25","0","1","0","1","11","12","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.59167385101318","729","12","16","256","108","34","0","1","0","1","8","7","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"6.2146081924438503","500","12","8","64","85","38","0","1","0","1","9","12","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.3368258476257298","565","18","9","81","119","41","0","1","0","1","14","14","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.4101748466491699","608","14","9","81","108","46","0","1","0","1","14","14","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.0520892143249503","425","12","10","100","96","32","0","4","0","1","12","12","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"6.2441668510437003","515","12","11","121","97","34","0","1","0","1","12","12","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"5.4161009788513201","225","9","13","169","84","29","0","1","0","1","11","12","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"5.9914650917053196","400","12","8","64","89","34","0","1","0","1","11","6","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.0330858230590803","417","11","7","49","93","22","0","1","0","1","11","6","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"5.3798971176147496","217","11","13","169","74","27","0","1","0","1","11","6","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"6.7957057952880904","894","16","9","81","116","43","1","1","0","1","","8","1","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0"
"5.7037830352783203","300","14","4","16","","36","0","6","0","1","15","12","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"5.8464388847351101","346","12","16","256","93","40","0","1","0","1","12","8","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.4892048835754403","658","14","9","81","100","35","0","1","0","1","","12","1","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.3543701171875","575","10","10","100","91","24","0","6","0","1","8","8","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"6.4754328727722203","649","12","14","196","88","35","0","1","0","1","8","8","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"6.8501257896423304","944","18","8","64","","43","0","1","1","1","12","13","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"6.4199948310852104","614","18","10","100","114","50","0","1","0","1","","8","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"6.5875501632690403","726","15","11","121","111","37","0","1","0","0","5","14","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"6.4035739898681596","604","12","10","100","","44","0","1","0","1","14","12","0","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"6.5410299301147496","693","12","14","196","95","44","0","1","0","1","11","12","0","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"7.2442269325256303","1400","18","10","100","132","44","0","1","0","0","14","13","0","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"5.7037830352783203","300","12","8","64","","27","0","6","0","1","7","12","0","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"7.4955420494079599","1800","18","8","64","109","38","0","5","0","1","16","16","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.0234479904174796","413","12","7","49","108","43","0","1","0","1","11","12","0","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"6.4488887786865199","632","14","9","81","102","45","0","1","0","0","","16","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0"
"5.3375377655029297","208","12","7","49","106","30","0","1","0","1","12","12","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.1246829032897896","457","12","7","49","104","40","1","6","0","1","","11","1","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.7141699790954599","824","16","2","4","119","24","0","1","0","1","10","10","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.3578419685363796","577","18","10","100","122","47","0","1","0","1","","12","1","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0"
"5.5412640571594203","255","11","11","121","90","32","0","1","0","1","6","10","1","1","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0"
"6.8690137863159197","962","16","8","64","118","47","0","1","0","1","12","12","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.8501257896423304","944","10","15","225","105","37","0","1","0","1","8","6","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"7.0440330505371103","1146","18","10","100","115","43","0","1","0","1","8","11","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"5.78074407577515","324","6","15","225","","16","0","1","0","1","2","6","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"5.4595861434936497","235","11","7","49","65","27","1","5","0","1","6","12","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.90775489807129","1000","12","16","256","120","45","0","1","0","1","11","10","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"6.1758670806884801","481","9","11","121","86","31","0","4","0","1","","12","1","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.4361510276794398","624","15","11","121","109","39","0","1","0","1","10","12","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.4769730567932102","650","11","17","289","72","36","0","1","0","1","8","10","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"5.8406410217285201","344","12","6","36","","31","1","6","0","1","","10","1","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0"
"5.9401707649231001","380","16","2","4","","","0","6","1","1","12","10","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0"
"5.8664679527282697","353","12","6","36","101","25","0","1","0","1","12","11","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0"
"6.4907240867614702","659","13","6","36","105","29","0","6","0","1","","12","1","1","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0"
